remote,station,boroname,neighborhood,postal,latitude,longitude
R288,7TH AVENUE-9TH STREET,Brooklyn,Northwest Brooklyn,11215,40.666276,-73.980324
R289,FT HAMILTON PKY-GREENWOOD,Brooklyn,Borough Park,11218,40.650722,-73.975818
R290,HOUSTON STREET-VARICK ST,Manhattan,Greenwich Village and Soho,10014,40.728202,-74.005344
R291,33RD STREET-QUEENS BLVD,Queens,Northwest Queens,11101,40.744558,-73.930993
R292,BAYCHESTER AVE-TILLOTSON,Bronx,Northeast Bronx,10469,40.878656,-73.838596
R293,34TH STREET - PENN STATION,Manhattan,Chelsea and Clinton,10001,40.750264,-73.992984
R294,MORGAN AVENUE-HARRISON PL,Brooklyn,Bushwick and Williamsburg,11206,40.706148,-73.93316
R295,WILSON AVENUE-MOFFAT STREET,Brooklyn,East New York and New Lots,11207,40.688676,-73.903999
R296,163RD ST & AMSTERDAM AVE,Manhattan,Inwood and Washington Heights,10032,40.835957,-73.939898
R297,FRANKLIN AVENUE-FULTON ST,Brooklyn,Central Brooklyn,11238,40.681159,-73.956056
R298,NORTHERN BLVD-BROADWAY,Queens,West Queens,11377,40.752898,-73.905973
R299,BROADWAY - UNION AVENUE,Brooklyn,Greenpoint,11211,40.7061,-73.950348
R300,2ND AVENUE-HOUSTON STREET,Manhattan,Lower East Side,10002,40.723291,-73.989873
R301,YORK STREET-JAY STREET,Brooklyn,Northwest Brooklyn,11201,40.699756,-73.98689
R302,57TH STREET-6TH AVENUE,Manhattan,Chelsea and Clinton,10019,40.763625,-73.977449
R303,21ST STREET-QUEENSBRIDGE,Queens,Northwest Queens,11101,40.7541,-73.94258
R304,RECTOR STREET-GREENWICH ST,Manhattan,Lower Manhattan,10006,40.70784,-74.013691
R305,WTC-CORTLANDT ST,Manhattan,Lower Manhattan,10280,40.710454,-74.011324
R306,238TH STREET-BROADWAY,Bronx,Kingsbridge and Riverdale,10463,40.884821,-73.900759
R307,138TH ST-GRAND CONCOURSE,Bronx,High Bridge and Morrisania,10451,40.813208,-73.929877
R308,MT EDEN AVENUE-JEROME AVE,Bronx,High Bridge and Morrisania,10452,40.844406,-73.914621
R309,176TH STREET-JEROME AVENUE,Bronx,Central Bronx,10453,40.848635,-73.912497
R310,111TH STREET-ROOSEVELT AVE,Queens,West Queens,11368,40.75176,-73.855183
R311,BOWERY STREET-DELANCEY ST,Manhattan,Lower East Side,10002,40.720315,-73.994014
R312,WEST 6TH STREET-SURF AVENUE,Brooklyn,Southern Brooklyn,11224,40.576152,-73.975925
R313,BUSHWICK AVENUE-ABERDEEN ST,Brooklyn,East New York and New Lots,11207,40.682558,-73.905501
R314,103RD ST-CENTRAL PARK WEST,Manhattan,Upper West Side,10025,40.796105,-73.961399
R315,155TH STREET-8TH AVENUE,Manhattan,Central Harlem,10039,40.829934,-73.938632
R316,FLUSHING AVENUE-MARCY AVE,Brooklyn,Bushwick and Williamsburg,11206,40.700374,-73.950284
R317,LAFAYETTE AV-WASHINGTON AV,Brooklyn,Northwest Brooklyn,11205,40.688123,-73.966742
R318,FULTON STREET-LAFAYETTE AV,Brooklyn,Northwest Brooklyn,11217,40.68713,-73.975346
R319,63RD STREET-LEXINGTON AVE,Manhattan,Upper East Side,10065,40.764763,-73.966291
R320,CANAL STREET-VARICK STREET,Manhattan,Greenwich Village and Soho,10013,40.722819,-74.006267
R321,18TH STREET-7TH AVENUE,Manhattan,Chelsea and Clinton,10011,40.741096,-73.997877
