"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R291","33RD STREET-QUEENS BLVD       ",2020-01-04,"01",22858,22677
"R292","BAYCHESTER AVE-TILLOTSON      ",2020-01-04,"01",13552,12611
"R293","34TH STREET - PENN STATION    ",2020-01-04,"01",220367,213360
"R294","MORGAN AVENUE-HARRISON PL     ",2020-01-04,"01",26134,28149
"R295","WILSON AVENUE-MOFFAT STREET   ",2020-01-04,"01",17508,18773
"R296","163RD ST & AMSTERDAM AVE      ",2020-01-04,"01",20153,16864
"R297","FRANKLIN AVENUE-FULTON ST     ",2020-01-04,"01",22987,23255
"R298","NORTHERN BLVD-BROADWAY        ",2020-01-04,"01",27938,27568
"R299","BROADWAY - UNION AVENUE       ",2020-01-04,"01",18733,12546
"R300","2ND AVENUE-HOUSTON STREET     ",2020-01-04,"01",80288,73826
"R301","YORK STREET-JAY STREET        ",2020-01-04,"01",50904,39840
"R302","57TH STREET-6TH AVENUE        ",2020-01-04,"01",79031,68159
"R303","21ST STREET-QUEENSBRIDGE      ",2020-01-04,"01",49600,42775
"R304","RECTOR STREET-GREENWICH ST    ",2020-01-04,"01",30727,30715
"R305","WTC-CORTLANDT ST              ",2020-01-04,"01",64127,86540
"R306","238TH STREET-BROADWAY         ",2020-01-04,"01",18526,3515
"R307","138TH ST-GRAND CONCOURSE      ",2020-01-04,"01",8789,11465
"R308","MT EDEN AVENUE-JEROME AVE     ",2020-01-04,"01",21662,25297
"R309","176TH STREET-JEROME AVENUE    ",2020-01-04,"01",23571,26428
"R310","111TH STREET-ROOSEVELT AVE    ",2020-01-04,"01",58262,56586
"R311","BOWERY STREET-DELANCEY ST     ",2020-01-04,"01",19951,18941
"R312","WEST 6TH STREET-SURF AVENUE   ",2020-01-04,"01",10096,9569
"R313","BUSHWICK AVENUE-ABERDEEN ST   ",2020-01-04,"01",7997,8855
"R314","103RD ST-CENTRAL PARK WEST    ",2020-01-04,"01",19453,18190
"R315","155TH STREET-8TH AVENUE       ",2020-01-04,"01",16699,14026
"R316","FLUSHING AVENUE-MARCY AVE     ",2020-01-04,"01",9510,8810
"R317","LAFAYETTE AV-WASHINGTON AV    ",2020-01-04,"01",15768,13128
"R318","FULTON STREET-LAFAYETTE AV    ",2020-01-04,"01",21806,16652
"R319","63RD STREET-LEXINGTON AVE     ",2020-01-04,"01",74038,74328
"R320","CANAL STREET-VARICK STREET    ",2020-01-04,"01",18887,18121
"R321","18TH STREET-7TH AVENUE        ",2020-01-04,"01",28965,27743
"R322","SPRING STREET-LAFAYETTE ST    ",2020-01-04,"01",56335,54433
"R323","111TH STREET-LENOX AVENUE     ",2020-01-04,"01",35047,35919
"R324","116TH STREET-LENOX AVENUE     ",2020-01-04,"01",45615,44893
"R325","WHITLOCK AVE-WESTCHESTER AV   ",2020-01-04,"01",7679,8206
"R326","ZEREGA AVE-WESTCHESTER AVE    ",2020-01-04,"01",11025,10842
"R327","52ND STREET-ROOSEVELT AVE     ",2020-01-04,"01",28947,21657
"R328","WILLETS PT BLVD-ROOSEVELT     ",2020-01-04,"01",16787,8261
"R329","MORRIS PARK-PAULDING AVENUE   ",2020-01-04,"01",9485,9221
"R330","3RD AVENUE-14TH STREET        ",2020-01-04,"01",19750,24048
"R331","155TH STREET-ST NICHOLAS AV   ",2020-01-04,"01",11341,11611
"R332","135TH STREET-ST NICHOLAS AV   ",2020-01-04,"01",19243,17826
"R333","116TH STREET-8TH AVENUE       ",2020-01-04,"01",28586,25801
"R334","110TH STREET-8TH AVENUE       ",2020-01-04,"01",31674,26789
"R335","GASTON AVENUE-BEACH 67TH ST   ",2020-01-04,"01",9191,9625
"R336","STRAITON AVE-BEACH 60TH ST    ",2020-01-04,"01",8530,9074
"R337","FRANK AVENUE-BEACH 44TH ST    ",2020-01-04,"01",2858,3237
"R338","EDGEMERE-BEACH 36TH STREET    ",2020-01-04,"01",3866,3874
"R339","36TH STREET-NORTHERN BLVD     ",2020-01-04,"01",16848,18910
"R340","65TH STREET-BROADWAY          ",2020-01-04,"01",17535,17768
"R341","75TH AVENUE-QUEENS BLVD       ",2020-01-04,"01",14748,14382
"R342","VAN WYCK BLVD-METROPOLITAN    ",2020-01-04,"01",19546,19005
"R343","FRANKLIN STREET-WEST BWAY     ",2020-01-04,"01",16122,16973
"R344","145TH STREET-LENOX AVENUE     ",2020-01-04,"01",13600,12263
